A Boy Who Has Been Reincarnated Twice Spends Peacefully As An S-Rank Adventurer, ~ I Who Was A Sage And A Hero Of Previous World, Will Live In Peacefullness In The Next World~ || Viewed: Chapter 33  
Kono Sekai ga Game da to, Ore dake ga Shitteiru || Viewed: Chapter 31  
I Can Have Infinite Epipha || Viewed: Chapter 219  
The Challenger || Viewed: Chapter 52  
Monster Pet Evolution || Viewed: Chapter 52  
Gift "Mugen Gacha" De Level 9999 || Viewed: Chapter 108  
Isekai Mahou Wa Okureteru! (Novel) || Viewed: Chapter 48  
Modern Villainess: It’s Not Easy Building a Corporate Empire Before the Crash || Viewed: Chapter 13  
Maou Ni Natta Node, Dungeon Tsukutte Jingai Musume To Honobono Suru || Viewed: Chapter 77.2  
Trash Of The Count’s Family || Viewed: Chapter 123  
The Fallen Brother Is Actually The Strongest: The Strongest Hero In History Is Reincarnated And Unknowingly Unmatched At The School || Viewed: Chapter 22.2  
Isekai Apocalypse Mynoghra ~The Conquest Of The World Starts With The Civilization Of Ruin~ || Viewed: Chapter 25  
Ochikobore “1” Mahou Tsukai wa, Kyou mo Muishiki ni Cheat wo Tsukau || Viewed: Chapter 12  
As Long as I Have the [Shop] Skill, I’ll Have an Easy Life Even in a World That Has Been Transformed Into a Dungeon! || Viewed: Chapter 18  
Manuke na FPS Player ga Isekai e Ochita Baai || Viewed: Chapter 1  
Kamitachi ni Hirowareta Otoko || Viewed: Chapter 23  
I'm Really Not The Evil God's Lackey || Viewed: Chapter 120  
The Guild Official With The Out-Of-The-Way Skill “Shadowy” Is, In Fact, The Legendary Assassin || Viewed: Chapter 35  
Ie ga Moete Jinsei Dou Demo Yoku Natta kara, Nokotta Nakenashi no Kin de Dark Elf no Dorei o Katta || Viewed: Chapter 17.2  
Kujibiki Tokushou Musou Harem-Ken || Viewed: Chapter 36  
The Sorcerer King Of Destruction And The Golem Of The Barbarian Queen || Viewed: Chapter 9.2  
Shin No Jitsuryoku Wa Girigiri Made Kakushite Iyou To Omou || Viewed: Chapter 28  
The Story Of How I Can Change The World With My Skill {Translation} ~ How I Used {Translation} To Become The World's Strongest! || Viewed: Chapter 22  
Shinja Zero No Megami-Sama To Hajimeru Isekai Kouryaku || Viewed: Chapter 33  
The Return Of The Disaster-Class Hero || Viewed: Chapter 108  
Isekai Tensei de Kenja ni Natte Boukensha Seikatsu || Viewed: Chapter 8  
The Academy's Genius Swordsman || Viewed: Chapter 114  
SSS-Rank Paladin Who Transcends Common Sense || Viewed: Chapter 31  
The Extra Is Too Strong || Viewed: Chapter 46  
I’m An Ex-Class Hunter || Viewed: Chapter 41  
Wortenia Senki || Viewed: Chapter 48  
I Used High-Level Medicine To Counter Magic || Viewed: Chapter 23  
Eiyuu-Ou, Bu Wo Kiwameru Tame Tenseisu || Viewed: Chapter 1  
Yuusha Party Wo Tsuihou Sareta Beast Tamer, Saikyou Shuzoku Nekomimi Shojo To Deau || Viewed: Chapter 69  
I'm Not a Villain || Viewed: Chapter 86  
I Became The King by Scavenging || Viewed: Chapter 33  
Mount Hua Sect’s Genius Phantom Swordsman || Viewed: Chapter 41  
The World's Best Assassin, Reincarnated In A Different World As An Aristocrat || Viewed: Chapter 25  
Yasei No Last Boss Ga Arawareta! || Viewed: Chapter 49.2  
The Celestial Returned From Hell || Viewed: Chapter 132  
Sleeping Ranker || Viewed: Chapter 120  
Great Wise Man's Beloved Pupil || Viewed: Chapter 17.2  
What Can I Do Alone? || Viewed: Chapter 39  
Isekai De Kojiin Wo Hiraita Kedo, Naze Ka Darehitori Sudatou To Shinai Ken || Viewed: Chapter 51  
The Small Sage Will Try Her Best In the Different World from Lv. 1! || Viewed: Chapter 1  
Tondemo Skill De Isekai Hourou Meshi: Sui No Daibouken || Viewed: Chapter 45  
Solo Leveling || Viewed: Chapter 117  
S Rank Boukensha De Aru Ore No Musume-Tachi Wa Juudo No Father Con Deshita || Viewed: Chapter 37  
Break Through In Another World With Magical Eyes And Bullets!! || Viewed: Chapter 15  
The World’S Strongest Butler || Viewed: Chapter 20  
I Am The Strongest Boss || Viewed: Chapter 36  
The Reincarnated Assassin Is A Genius Swordsman || Viewed: Chapter 55  
The Betrayed Hero Who Was Reincarnated As The Strongest Demon Lord || Viewed: Chapter 15.2  
The Unfavorable Job [Appraiser] Is Actually The Strongest || Viewed: Chapter 54  
Shoki Skill Ga Benri Sugite Isekai Seikatsu ga Tanoshisugiru! || Viewed: Chapter 16  
Sono Monban, Saikyou Nitsuki: Tsuihou Sareta Bougyo Ryoku 9999 No Senshi, Outo No Monban Toshite Musou Suru || Viewed: Chapter 26.3  
Sss-Class Suicide Hunter || Viewed: Chapter 127  
Hunter X Hunter || Viewed: Chapter 400  
The Greatest Estate Designer || Viewed: Chapter 205  
I Was Fired As An Adventurer, So I Became An Alchemist! || Viewed: Chapter 6  
Water Magician || Viewed: Chapter 9  
Zatsuyou Fuyojutsushi Ga Jibun No Saikyou Ni Kizuku Made || Viewed: Chapter 22  
Ranker Who Lives A Second Time || Viewed: Chapter 163  
Into The Light, Once Again || Viewed: Chapter 83  
I’Ve Been Killing Slimes For 300 Years And Maxed Out My Level || Viewed: Chapter 35  
Mamono wo Shitagaeru "Teiin" wo Motsu Tensei Kenjya~ Katsute no Maho to Jyuma de Hissori Saikyo no Bokensha ninaru~ || Viewed: Chapter 24  
The Demon King Who Lost His Job || Viewed: Chapter 396  
Hottoite Kudasai - Juuma to Cheat Life Tanoshii Mitai! || Viewed: Chapter 15  
Tensei Kyuuketsuki-san wa Ohirune ga Shitai || Viewed: Chapter 23  
Catastrophic Priest || Viewed: Chapter 52  
Maou-Sama No Machizukuri! ~Saikyou No Dungeon Wa Kindai Toshi~ || Viewed: Chapter 52  
Gakuenmono No Otome Game No Sekai Ni Tensei Shita Kedo, Cheat-Mochi No Haikei Danshi Seitodatta You Desu || Viewed: Chapter 12.1  
The S-Classes That I Raised || Viewed: Chapter 119.4  
I Became the World's Strongest Witch, ~I Will Live Freely in a World Where Only I Can Access the "Guide Site"~ || Viewed: Chapter 38  
Motto mo Kirawareteiru Saikyou no Akuyaku ni Tensei || Viewed: Chapter 2  
Return Of The Elemental Lord || Viewed: Chapter 5  
I Became A Part Time Employee For Gods || Viewed: Chapter 65  
